"index","similarity","path","time","souffle_time","neo4j_time","sim_time","gen_time","automaton_time","num_dup","num_tot"
"persondata-greedy-0","[1]","[13]","[3.9675779589999998]","[0.000105492]","[3.701755989]","[0.014218023]","[0.001030716]","[0.000227274]","[75]","[152]"
"persondata-random-0","[0.54]","[9]","[3.5280104530000003]","[0.000176803]","[3.350494217]","[0.024239032]","[0.001706978]","[0.000390357]","[135]","[266]"
"persondata-weighted_distance-0","[0.56]","[6]","[3.462805319]","[0.000196154]","[3.293025001]","[0.032333138]","[0.0020717]","[0.000479568]","[173]","[330]"
"persondata-naive-0","[1]","[13]","[243.901194045]","[0.029253342]","[200.454732987]","[3.309564911]","[0.335462222]","[0.059848466]","[23744]","[31590]"
"dblp_to_amalgam1-greedy-0","[1]","[23]","[4811.269547897]","[0.000583663]","[4808.252859557]","[59.969326738]","[1.7098623320000002]","[0.000445633]","[65544]","[131090]"
"dblp_to_amalgam1-random-0","[0.875]","[18]","[4905.331900556]","[0.000470081]","[4901.929884121]","[60.347711607]","[1.675758996]","[0.000494602]","[65555]","[131112]"
"dblp_to_amalgam1-weighted_distance-0","[0.89]","[21]","[5035.508849593]","[0.000484821]","[5031.59980636]","[59.850765007]","[1.661898011]","[0.000519662]","[65558]","[131118]"
"dblp_to_amalgam1-naive-0","[None]","[None]","[None]","[None]","[None]","[None]","[None]","[None]","[None]","[None]"
"flighthotel-greedy-0","[1]","[16]","[4.696978663]","[0.000280184]","[4.170183333]","[0.004422872]","[0.002513924]","[0.000704497]","[53]","[108]"
"flighthotel-random-0","[0.3575757575757576]","[6]","[2.468383365]","[0.000250964]","[2.149335001]","[0.004120243]","[0.002297086]","[0.000848157]","[67]","[118]"
"flighthotel-weighted_distance-0","[0.30303030303030304]","[3]","[1.526669083]","[0.000186413]","[1.316047465]","[0.002444985]","[0.001580682]","[0.000656265]","[43]","[74]"
"flighthotel-naive-0","[1]","[16]","[241.477955058]","[0.024508477]","[230.275483287]","[1.53609105]","[0.450009666]","[0.096282869]","[37933]","[41806]"
"amalgam1_to_amalgam3-greedy-0","[1]","[24]","[19107.385752484]","[0.000739689]","[19099.850966437]","[120.479746124]","[5.762582759]","[0.000407234]","[131079]","[262160]"
"amalgam1_to_amalgam3-random-0","[0.9316239316239316]","[18]","[18236.641923868]","[0.000837186]","[18227.372605336]","[121.530101182]","[5.9168715370000005]","[0.000592008]","[131090]","[262182]"
"ibench_huge-greedy-0","[1]","[25]","[2398.44714233]","[0.000924538]","[2396.044976499]","[42.976245186]","[1.927500671]","[0.000334023]","[5252]","[7434]"
"ibench_huge-random-0","[0.9948031844316674]","[13]","[2614.662897974]","[0.001880638]","[2611.535619144]","[47.517825292]","[2.148272346]","[0.000790553]","[5703]","[8092]"
"ibench_huge-weighted_distance-0","[0.9978411292554664]","[22]","[2641.252216005]","[0.001627367]","[2637.891472631]","[46.073941179]","[2.138434406]","[0.000652384]","[5525]","[7966]"
"ibench_huge-naive-0","[None]","[None]","[None]","[None]","[None]","[None]","[None]","[None]","[None]","[None]"
