transfo,operation,time,num_elems
Merge,add_node,2246,252840
Merge,add_prop,1971,84280
Merge,add_prop,849,84280
Merge,add_prop,756,84280
Merge,add_prop,710,84280
Merge,add_prop,718,84280
Merge,add_prop,723,84280
Merge,add_prop,711,84280
Merge,add_prop,721,84280
Merge,add_prop,755,84280
Merge,del_node,748,168560
Merge,del_node,260,84280
Split,add_node,699,252840
Split,add_node,262,252840
Split,add_prop,706,84280
Split,add_prop,701,84280
Split,add_prop,708,84280
Split,add_prop,699,84280
Split,add_prop,694,84280
Split,add_edge,598,84280
Split,del_node,118,84280
Add_props,create_prop,1058,84280
Add_props,create_prop,802,84280
Rem_props,del_prop,160,84280
